# Created by CST STUDIO SUITE 2018 0
# On Fri Nov 13 17:43:48 2020
# unit: meters
# design frequency: -
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	0	0	0	1	0	0	0	0
1,2	0	0.13121540966667	0	1	0	0	0	0
1,3	0	0.26243081933334	0	1	0	0	0	0
1,4	0	0.39364622900001006	0	1	0	0	0	0
2,1	0.15603205966667	0	0	1	0	0	0	0
2,2	0.15603205966667	0.13121540966667	0	1	0	0	0	0
2,3	0.15603205966667	0.26243081933334	0	1	0	0	0	0
2,4	0.15603205966667	0.39364622900001006	0	1	0	0	0	0
3,1	0.31206411933334	0	0	1	0	0	0	0
3,2	0.31206411933334	0.13121540966667	0	1	0	0	0	0
3,3	0.31206411933334	0.26243081933334	0	1	0	0	0	0
3,4	0.31206411933334	0.39364622900001006	0	1	0	0	0	0
4,1	0.46809617900000999	0	0	1	0	0	0	0
4,2	0.46809617900000999	0.13121540966667	0	1	0	0	0	0
4,3	0.46809617900000999	0.26243081933334	0	1	0	0	0	0
4,4	0.46809617900000999	0.39364622900001006	0	1	0	0	0	0
